EMPLOYEE_ID,RECOMMENDED_EVENTS
EMP2,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP3,"Azure, User Research, SQL, Python, DevOps"
EMP4,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP5,"SQL, User Research, Python, Azure, DevOps"
EMP7,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP8,"User Research, SQL, Python, Azure, DevOps"
EMP10,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP15,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP19,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP20,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP21,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP24,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP25,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP26,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP27,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP28,"Microservices, C#, Data Visualization, Test-Driven Development, Scrum"
EMP29,"Data Analysis, DevOps, Git, Penetration Testing, Python"
EMP31,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP39,"User Research, SQL, Azure, Python, DevOps"
EMP42,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP43,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP45,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP48,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP49,"SQL, User Research, Python, Azure, DevOps"
EMP50,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP51,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP53,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP54,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP55,"SQL, User Research, Python, Azure, DevOps"
EMP59,"User Research, SQL, Azure, Python, DevOps"
EMP61,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP62,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP64,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP1,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP6,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP9,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP11,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP12,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP13,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP14,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP16,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP17,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP18,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP22,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP23,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP30,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP32,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP33,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP34,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP35,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP36,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP37,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP38,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP40,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP41,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP44,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP46,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP47,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP52,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP56,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP57,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP58,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP60,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP63,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP65,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP66,"Microservices, C#, Data Visualization, Test-Driven Development, Scrum"
EMP67,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP68,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP69,"Statistical Analysis, Documentation, Machine Learning, Scrum, PHP"
EMP70,"Test-Driven Development, Scrum, Data Visualization, Statistical Analysis, C#"
EMP71,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP73,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP75,"Penetration Testing, Vue.js, PHP, Git, Machine Learning"
EMP76,"Penetration Testing, Vue.js, PHP, Git, Machine Learning"
EMP78,"Microservices, C#, Data Visualization, Test-Driven Development, Scrum"
EMP79,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP81,"Python, SQL, DevOps, User Research, Azure"
EMP83,"Test-Driven Development, Scrum, Data Visualization, Statistical Analysis, C#"
EMP84,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP85,"SQL, User Research, Python, Azure, DevOps"
EMP86,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP88,"Microservices, C#, Data Visualization, Test-Driven Development, Scrum"
EMP89,"Azure, User Research, SQL, Python, DevOps"
EMP90,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP91,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP95,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP97,"Test-Driven Development, Scrum, Data Visualization, Statistical Analysis, C#"
EMP98,"User Research, SQL, Azure, Python, DevOps"
EMP105,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP107,"User Research, SQL, Azure, Python, DevOps"
EMP109,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP111,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP113,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP118,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP120,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP122,"SQL, User Research, Python, Azure, DevOps"
EMP124,"Machine Learning, Documentation, PHP, Statistical Analysis, Penetration Testing"
EMP125,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP129,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP130,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP131,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP134,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP135,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP72,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP74,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP77,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP80,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP82,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP87,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP92,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP93,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP94,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP96,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP99,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP100,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP101,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP102,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP103,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP104,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP106,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP108,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP110,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP112,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP114,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP115,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP116,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP117,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP119,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP121,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP123,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP126,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP127,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP128,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP132,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP133,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP137,"Statistical Analysis, Machine Learning, Documentation, Scrum, PHP"
EMP140,"Python, SQL, DevOps, User Research, Azure"
EMP141,"Python, SQL, DevOps, User Research, Azure"
EMP142,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP143,"Python, SQL, DevOps, User Research, Azure"
EMP147,"SQL, User Research, Python, Azure, DevOps"
EMP151,"Azure, User Research, SQL, Python, DevOps"
EMP152,"Machine Learning, Documentation, PHP, Statistical Analysis, Penetration Testing"
EMP153,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP156,"Statistical Analysis, Documentation, Machine Learning, Scrum, PHP"
EMP157,"SQL, User Research, Python, Azure, DevOps"
EMP158,"Python, SQL, DevOps, User Research, Azure"
EMP159,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP160,"Penetration Testing, PHP, Vue.js, Machine Learning, Git"
EMP164,"SQL, User Research, Python, Azure, DevOps"
EMP166,"User Research, SQL, Azure, Python, DevOps"
EMP171,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP172,"Python, SQL, DevOps, User Research, Azure"
EMP176,"Data Analysis, DevOps, Git, Penetration Testing, Python"
EMP177,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP180,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP182,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP184,"Test-Driven Development, Scrum, Data Visualization, Statistical Analysis, C#"
EMP186,"Penetration Testing, Vue.js, PHP, Git, Machine Learning"
EMP188,"Azure, User Research, SQL, Python, DevOps"
EMP190,"Scrum, Test-Driven Development, Statistical Analysis, Data Visualization, Documentation"
EMP192,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP136,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP138,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP139,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP144,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP145,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP146,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP148,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP149,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP150,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP154,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP155,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP161,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP162,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP163,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP165,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP167,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP168,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP169,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP170,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP173,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP174,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP175,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP178,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP179,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP181,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP183,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP185,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP187,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP189,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP191,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP197,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP198,"Machine Learning, Documentation, PHP, Statistical Analysis, Penetration Testing"
EMP199,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP193,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP194,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP195,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP196,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP001,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
